分類,型番・仕様,部品名,装置1台の必要数,取り付け場所・用途,購入先・製品ページ
機構,C-42STM01,42 mm角ステッピングモーター,1,駆動フレームのU字開口から入れ、M3×8で4点固定,https://jp.misumi-ec.com/vona2/detail/110310526769/?HissuCode=C-42STM01
機構,MTSRA8-120-S20-Q6,送りねじ,1,軸端φ6×20、ねじ部100、全長120 mm。軸受と黄銅ナットを通す,https://jp.misumi-ec.com/vona2/detail/110302642010/?HissuCode=MTSRA8-120-S20-Q6
機構,MTSFR8,黄銅フランジナット,1,黄銅ナット取付板の下面。M4×14とM4ナットで4点固定,https://jp.misumi-ec.com/vona2/detail/110302641220/?HissuCode=MTSFR8
機構,SSEB8-100,リニアガイド（レール＋ブロック）,1組,レールはフレームへM2×12で4点、ブロックは取付板へM2×6で4点固定,https://jp.misumi-ec.com/vona2/detail/110302586530/?HissuCode=SSEB8-100
機構,CPL16-5-6,カップリング,1,モーターのφ5軸と送りねじのφ6軸端を接続,https://jp.misumi-ec.com/vona2/detail/110300126030/?HissuCode=CPL16-5-6
機構,696ZZ,軸受（内径6×外径15×幅5 mm）,1,駆動フレームの軸受座。上下に精密シムを入れ、蓋で押さえる,https://jp.misumi-ec.com/vona2/detail/221301228090/?HissuCode=696ZZ
機構,PSCCJ6-5,セットカラー,1,下シムの下で送りねじに固定,https://jp.misumi-ec.com/vona2/detail/110302636320/?HissuCode=PSCCJ6-5
機構,CIMR6-12-0.5,精密シム（6×12×0.5 mm）,2,軸受の上下へ各1枚。普通の座金へ置き換えない,https://jp.misumi-ec.com/vona2/detail/110302677870/?HissuCode=CIMR6-12-0.5
機構,USLL6,ウレタン先端の支持ねじ,3,ガラスホルダーへ底2本・横1本。M3ナットで固定,https://jp.misumi-ec.com/vona2/detail/110302358850/?HissuCode=USLL6
機構,50×50×2.3 mm,ランダムドットガラス,1,ホルダーの溝へ挿入。溝幅2.9 mm、支持ねじで3点支持,
検出・制御,SS-01GL13-E,OMRONリミットスイッチ,2,フレームの上下へ各1個。COM→GND、下NC→SCL、上NC→SDA,https://jp.misumi-ec.com/vona2/detail/221000559138/?HissuCode=SS-01GL13-E
検出・制御,Pololu 3130 / Tic T825,USBモーター制御基板（端子実装済み）,1,電子箱の底板へM2×6で2点固定,https://www.switch-science.com/products/3398
検出・制御,2.54 mm・1ピン・メス端子付き,信号用リード線,4,TicのSCL・SDA・信号GNDと、上下スイッチを接続。長さは現物で決める,
電装,XT60E-F,リード線付きパネル用XT60メス,1,電源側板の下側。M2×8とM2ナット各2で固定,https://www.amazon.co.jp/dp/B0CQK1P1DP
電装,エーモン3214,主電源スイッチ（非照光）,1,電源側板の上側。付属ナットで固定,https://www.amazon.co.jp/dp/B075SW22KP
電装,OHM KIT-NR312,パネル用ヒューズホルダー,1,ヒューズ側板のφ13 mm穴。付属ナットで固定,https://www.amazon.co.jp/dp/B0DSKS32YZ
電装,5.2×20 mm・2 A,ガラス管ヒューズ,1,KIT-NR312内。エーモン3665セットの2 Aを使用,https://www.amazon.co.jp/dp/B086Z12VJF
